Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/26/2025,08/27/2025,PAYPAL *STEAM GAMES,Entertainment,Sale,-69.99,
08/26/2025,08/27/2025,PAYPAL *EBAY US,Shopping,Sale,-26.97,
08/26/2025,08/27/2025,BEENVERIFIED INC.,Professional Services,Sale,-32.89,
08/25/2025,08/26/2025,PAYPAL *WALMART COM,Groceries,Return,5.37,
08/25/2025,08/26/2025,PAYPAL *WALMART COM,Groceries,Sale,-84.30,
08/25/2025,08/26/2025,PAYPAL *WALMART COM,Groceries,Return,7.18,
08/25/2025,08/26/2025,Amazon.com*MT8Y33NP3,Shopping,Sale,-7.01,
08/26/2025,08/26/2025,AMAZON MKTPL*H90WJ5WF3,Shopping,Sale,-28.47,
08/24/2025,08/25/2025,APPLE.COM/BILL,Shopping,Sale,-2.99,
08/22/2025,08/24/2025,McDonalds 10803,Food & Drink,Sale,-7.74,
08/21/2025,08/24/2025,McDonalds 10803,Food & Drink,Sale,-3.23,
08/23/2025,08/24/2025,COSTCO WHSE #0672,Shopping,Sale,-98.17,
08/23/2025,08/24/2025,RED MOUNTAIN MARKET,Groceries,Sale,-13.77,
08/20/2025,08/22/2025,McDonalds 10803,Food & Drink,Sale,-4.51,
08/18/2025,08/19/2025,CHEVRON 0385252,Gas,Sale,-5.86,
08/19/2025,08/19/2025,BEENVERIFIED INC.,Professional Services,Sale,-1.00,
08/18/2025,08/19/2025,MAVERIK #680,Gas,Sale,-9.45,
08/18/2025,08/18/2025,Payment Thank You-Mobile,,Payment,707.54,
08/17/2025,08/18/2025,PAYPAL *WALMART COM,Groceries,Sale,-47.32,
08/16/2025,08/18/2025,McDonalds 20759,Food & Drink,Sale,-4.30,
08/16/2025,08/18/2025,ALBERTSONS #1329,Groceries,Sale,-41.41,
08/16/2025,08/17/2025,COSTCO WHSE #0672,Shopping,Sale,-55.71,
08/15/2025,08/17/2025,MAVERIK #521,Gas,Sale,-3.59,
08/14/2025,08/17/2025,TACO BELL 025385,Food & Drink,Sale,-3.86,
08/15/2025,08/17/2025,TACO BELL 025385,Food & Drink,Sale,-5.90,
08/16/2025,08/17/2025,PAYPAL *WALMART COM,Groceries,Return,3.02,
08/14/2025,08/15/2025,Amazon.com*0W9US1PK3,Shopping,Sale,-12.75,
08/13/2025,08/15/2025,TACO BELL 725391,Food & Drink,Sale,-6.99,
08/11/2025,08/13/2025,TACO BELL 025385,Food & Drink,Sale,-5.79,
08/09/2025,08/11/2025,McDonalds 20759,Food & Drink,Sale,-5.81,
08/09/2025,08/11/2025,PAYPAL *KNITTINGFOR,Shopping,Sale,-5.71,
08/10/2025,08/11/2025,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-21.35,
08/09/2025,08/11/2025,ALBERTSONS #1329,Groceries,Sale,-67.67,
08/08/2025,08/10/2025,COSTCO WHSE #0672,Shopping,Sale,-148.81,
08/08/2025,08/10/2025,COSTCO WHSE #0672,Shopping,Sale,-6.97,
08/09/2025,08/10/2025,AMAZON PRIME*EL4VR84K3,Bills & Utilities,Sale,-16.45,
08/06/2025,08/08/2025,PERFORMANCE FITNESS - ST,Entertainment,Sale,-37.35,
08/06/2025,08/07/2025,BURGER KING #10527,Food & Drink,Sale,-7.63,
08/06/2025,08/07/2025,Amazon.com*TQ5QF3Z13,Shopping,Sale,-15.98,
08/05/2025,08/06/2025,Disney Plus,Bills & Utilities,Sale,-10.66,
