Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/18/2024,08/19/2024,COSTCO WHSE #0672,Shopping,Sale,-84.65,
08/18/2024,08/19/2024,COSTCO WHSE #0672,Shopping,Sale,-6.43,
08/18/2024,08/19/2024,DIGBY'S MARKET,Groceries,Sale,-23.18,
08/18/2024,08/19/2024,USPS CHANGE OF ADDRESS,Shopping,Sale,-1.10,
08/17/2024,08/19/2024,WENDY'S #1094,Food & Drink,Sale,-13.82,
08/18/2024,08/19/2024,McDonalds 20759,Food & Drink,Sale,-18.69,
08/16/2024,08/18/2024,AMERICAN COLLEGE OF OSTE,Gifts & Donations,Sale,-75.00,
08/17/2024,08/18/2024,GRUBHUBFERRELLSDONUTS,Food & Drink,Sale,-21.94,
08/13/2024,08/18/2024,PAYPAL *JAGEX LTD,Entertainment,Sale,-8.99,
08/16/2024,08/18/2024,SAFEWAY #1929,Groceries,Sale,-6.17,
08/13/2024,08/18/2024,PAYPAL *JAGEX LTD,Entertainment,Sale,-8.99,
08/16/2024,08/18/2024,TST*ZACHARYS RESTAURANT,Food & Drink,Sale,-26.79,
08/16/2024,08/18/2024,PANDA EXPRESS #1407,Food & Drink,Sale,-23.76,
08/17/2024,08/18/2024,7-ELEVEN 16346,Gas,Sale,-12.25,
08/16/2024,08/18/2024,TST*THE BAGELRY - CEDAR,Food & Drink,Sale,-9.95,
08/15/2024,08/16/2024,BURGER KING #4447,Food & Drink,Sale,-17.55,
08/15/2024,08/15/2024,GRUBHUBKFC,Food & Drink,Sale,-35.65,
08/15/2024,08/15/2024,Payment Thank You-Mobile,,Payment,1276.18,
08/12/2024,08/14/2024,7-ELEVEN 16346,Gas,Sale,-7.68,
08/12/2024,08/14/2024,TACO BELL 30740,Food & Drink,Sale,-25.76,
08/12/2024,08/13/2024,LYFT   *2 RIDES 08-11,Travel,Sale,-63.48,
08/12/2024,08/13/2024,HERNANDEZ MARKET #2,Groceries,Sale,-21.54,
08/12/2024,08/13/2024,TST* SAN PEDRO MARKET,Food & Drink,Sale,-19.91,
08/11/2024,08/12/2024,PAYPAL *DOMINO'S 7992,Food & Drink,Sale,-26.31,
08/11/2024,08/12/2024,McDonalds 778,Food & Drink,Sale,-11.12,
08/12/2024,08/12/2024,Subway 14313,Food & Drink,Sale,-8.73,
08/09/2024,08/11/2024,SAFEWAY #2607,Groceries,Sale,-42.24,
08/10/2024,08/11/2024,PP*CAVIAR JACKSHAMBUR,Food & Drink,Sale,-14.43,
08/10/2024,08/11/2024,DE LA HACIENDA TAQUERIA,Food & Drink,Sale,-13.99,
08/09/2024,08/11/2024,Amazon Prime*RM4DF7Z01,Bills & Utilities,Sale,-16.45,
08/07/2024,08/09/2024,7-ELEVEN 16346,Gas,Sale,-11.08,
08/07/2024,08/08/2024,BURGER KING #4447,Food & Drink,Sale,-8.78,
08/05/2024,08/06/2024,LYFT   *1 RIDE 08-04,Travel,Sale,-9.82,
08/04/2024,08/06/2024,THE LOCAL SHOPPE,Gas,Sale,-30.98,
08/05/2024,08/06/2024,McDonalds 778,Food & Drink,Sale,-9.99,
08/04/2024,08/05/2024,LYFT   *1 RIDE 08-03,Travel,Sale,-9.99,
08/03/2024,08/05/2024,SAFEWAY #2607,Groceries,Sale,-30.79,
08/04/2024,08/05/2024,TST*THE BAGELRY - CEDAR,Food & Drink,Sale,-3.60,
08/04/2024,08/05/2024,ENTERPRISE RENT-A-CAR,Travel,Sale,-66.56,
08/02/2024,08/04/2024,SAFEWAY #2607,Groceries,Sale,-73.09,
08/02/2024,08/04/2024,McDonalds 778,Food & Drink,Sale,-6.83,
07/30/2024,08/04/2024,PAYPAL *JAGEX LTD,Entertainment,Sale,-8.99,
08/03/2024,08/04/2024,BURGER KING #4447,Food & Drink,Sale,-7.67,
08/02/2024,08/04/2024,HERNANDEZ MARKET #2,Groceries,Sale,-10.69,
07/30/2024,08/04/2024,PAYPAL *JAGEX LTD,Entertainment,Sale,-8.99,
07/31/2024,08/01/2024,HERNANDEZ MARKET #2,Groceries,Sale,-10.28,
07/29/2024,07/30/2024,WESTSIDE HARDWARE,Home,Sale,-31.82,
07/28/2024,07/30/2024,FRESH ATTRACTIONS A#2,Food & Drink,Sale,-4.65,
07/29/2024,07/30/2024,WINGSTOP 570,Food & Drink,Sale,-24.22,
07/30/2024,07/30/2024,Southwest Skin and Can,Health & Wellness,Sale,-8.01,
07/29/2024,07/30/2024,7-ELEVEN 16346,Gas,Sale,-7.78,
07/28/2024,07/30/2024,McDonalds 778,Food & Drink,Sale,-11.34,
07/29/2024,07/29/2024,Subway 14313,Food & Drink,Sale,-10.58,
