Transaction Date,Description,Category,Type,Amount
7/8/2024,LYFT   *1 RIDE 07-06,Travel,Sale,-62.99
7/6/2024,AMAZON MKTPL*R76G78Y20,Shopping,Sale,-8.53
7/5/2024,GULF OIL 92067411,Gas,Sale,-10.02
7/7/2024,AMA*MEMBERSHIP DUES,Personal,Sale,-10
7/6/2024,COSTCO WHSE #0149,Shopping,Sale,-67.38
7/6/2024,UWORLD,Education,Sale,-556.63
7/6/2024,COSTCO WHSE #0149,Shopping,Sale,-8.75
7/6/2024,PAYPAL *SUBWAY 5104,Food & Drink,Sale,-8.73
7/4/2024,WWW COSTCO COM,Shopping,Sale,-25
7/4/2024,AMAZON MKTPL*R74UJ3QS0,Shopping,Sale,-32.91
7/2/2024,STATE OF CALIF DMV INT SC,Bills & Utilities,Sale,-27
7/2/2024,CA DMV FEE,Bills & Utilities,Sale,-0.53
7/3/2024,BURGER KING #4447,Food & Drink,Sale,-9.74
7/2/2024,McDonalds 778,Food & Drink,Sale,-5.74
7/2/2024,Amazon web services,Personal,Sale,-0.64
7/2/2024,Amazon.com*R793L4PZ0,Shopping,Sale,-32.91
7/2/2024,Payment Thank You-Mobile,,Payment,1399.43
6/29/2024,ALASKA AIR  0272374814492,Travel,Sale,-40
6/30/2024,BURGER KING #4447,Food & Drink,Sale,-10.91
6/28/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.22
6/26/2024,OXXO CARACOL PVA,Groceries,Sale,-7.6
6/28/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.14
6/27/2024,CC SLAUGHTERS PUERTO VALL,Food & Drink,Sale,-4.98
6/27/2024,DISCOUNT VACATION COSTA,Travel,Return,38
6/28/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.53
6/27/2024,MARGARITA GRILL,Food & Drink,Sale,-17.72
6/25/2024,VILLA DEL PALMAR TI,Travel,Sale,-1248.37
6/27/2024,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.89
6/26/2024,ANDALES R,Food & Drink,Sale,-29.91
6/26/2024,LYFT   *1 RIDE 06-25,Travel,Sale,-57.42
6/25/2024,DISCOUNT VACATION COSTA,Travel,Sale,-38
6/25/2024,Payment Thank You-Mobile,,Payment,1327.73
6/24/2024,BURGER KING #6054,Food & Drink,Sale,-10.76
6/24/2024,APPLE.COM/BILL,Shopping,Sale,-2.99
6/25/2024,LYFT   *1 RIDE 06-23,Travel,Sale,-6.99
6/23/2024,AMAZON MKTPL*8F7201AG3,Shopping,Sale,-24.02
6/22/2024,AMAZON MKTPL*803P26XC3,Shopping,Sale,-16.38
6/20/2024,UNITED      0162398656841,Travel,Sale,-370.52
6/20/2024,UNITED      0162398656840,Travel,Sale,-370.52
6/17/2024,McDonalds 2378,Food & Drink,Sale,-8.34
6/18/2024,AMAZON MKTPL*XB2UH6K93,Shopping,Sale,-10.87
6/19/2024,LYFT   *1 RIDE 06-17,Travel,Sale,-54.96
6/16/2024,PAYPAL *CARMENHEFFE,Shopping,Sale,-3.92
6/15/2024,CARLS JR 1100095,Food & Drink,Sale,-10.32
6/16/2024,CARLS JR 1100095,Food & Drink,Sale,-4.08
6/15/2024,AMAZON MKTPL*2U7QJ3T13,Shopping,Sale,-13.75
6/15/2024,24 Hour Fitness USA  I,Health & Wellness,Sale,-46.19
6/11/2024,PAYPAL *SUBWAY 14313,Food & Drink,Sale,-13.1
6/10/2024,ROVER.COM* PET SVCS.,Personal,Sale,-202.02
6/9/2024,PAYPAL *CHICK-FIL-A #0392,Food & Drink,Sale,-19.62
6/9/2024,PIZZA MY HEART,Food & Drink,Sale,-34.53
6/10/2024,NATIONAL BOARD OF MEDICAL,Education,Sale,-60
6/9/2024,Amazon Prime*8R1G61LR3,Bills & Utilities,Sale,-16.38
6/6/2024,7-ELEVEN 16346,Gas,Sale,-6.74
6/6/2024,McDonalds 778,Food & Drink,Sale,-10.3
6/6/2024,BURGER KING #4447,Food & Drink,Sale,-1.63
6/4/2024,PAYPAL *EBAY US,Shopping,Sale,-2.06
6/4/2024,PAYPAL *TCGPLAYER,Shopping,Sale,-10.15
6/4/2024,PAYPAL *EBAY US,Shopping,Sale,-1.75
6/2/2024,McDonalds 778,Food & Drink,Sale,-8.39
6/3/2024,7-ELEVEN 16346,Gas,Sale,-7.19
6/3/2024,Payment Thank You-Mobile,,Payment,82.96
5/31/2024,COSTCO WHSE #0149,Shopping,Sale,-9.24
5/31/2024,BURGER KING #4447,Food & Drink,Sale,-3.8
5/31/2024,McDonalds 778,Food & Drink,Sale,-7.2
5/30/2024,Payment Thank You-Mobile,,Payment,115.75
5/29/2024,NBOME COMLEX,Professional Services,Sale,-60
5/29/2024,BURGER KING #4447,Food & Drink,Sale,-2.72
5/28/2024,PAYPAL *STEAM GAMES,Entertainment,Sale,-13.99
5/26/2024,SAFEWAY #2607,Groceries,Sale,-4.14
5/26/2024,US PRO GAS,Gas,Sale,-47.64
5/24/2024,APPLE.COM/BILL,Shopping,Sale,-2.99
5/25/2024,LYFT   *1 RIDE 05-24,Travel,Sale,-46.99
5/25/2024,Payment Thank You-Mobile,,Payment,1139.64
5/24/2024,LYFT   *RIDE THU 11AM,Travel,Sale,-15.88
5/20/2024,SQ *BRONCO BILLY'S PIZZA,Food & Drink,Sale,-36.14
5/17/2024,AMZN Mktp US*BO2ID5XM3,Shopping,Sale,-10.93
5/19/2024,Amazon.com*MC1994BY3,Shopping,Sale,-44.84
5/16/2024,BURGER KING #4447,Food & Drink,Sale,-10.91
5/16/2024,AMZN Mktp US*WG1C314O3,Shopping,Sale,-15.56
5/16/2024,AMZN Mktp US*Z74OB7KF3,Shopping,Sale,-9.78
5/15/2024,24 Hour Fitness USA  I,Health & Wellness,Sale,-46.19
5/16/2024,AMZN Mktp US*4A00F6E33,Shopping,Sale,-33.23
5/15/2024,AMZN Mktp US*YF4205SC3,Shopping,Sale,-24
5/12/2024,McDonalds 17454,Food & Drink,Sale,-15.88
5/12/2024,PAYPAL *SUBWAY 14313,Food & Drink,Sale,-13.1
5/12/2024,Riot* LN4FG0JXBCKA,Shopping,Sale,-4.99
5/9/2024,Amazon Prime*L64DU4BS3,Bills & Utilities,Sale,-16.38
5/9/2024,COSTCO WHSE #0149,Shopping,Sale,-291.88
5/9/2024,COSTCO WHSE #0149,Shopping,Sale,-6.24
5/8/2024,PAYPAL *UT MEDICAL,Gifts & Donations,Sale,-11
5/5/2024,COSTCO WHSE #0149,Shopping,Sale,-120.76
5/5/2024,McDonalds 778,Food & Drink,Sale,-8.17
